x_meters,y_meters
-5.231404773041388978e+01,-2.571020018472869140e+01
-5.271901886897614986e+01,-2.541736858127595156e+01
-5.314211457570350206e+01,-2.515185292710536658e+01
-5.357925077076540532e+01,-2.490950362311415489e+01
-5.403717821928496079e+01,-2.471008814463860404e+01
-5.451533994977560837e+01,-2.456507643857221268e+01
-5.500013727284265030e+01,-2.444390785618477224e+01
-5.549404388626733464e+01,-2.437278646705152596e+01
-5.599408181199339651e+01,-2.437520113623882878e+01
-5.649330839652393621e+01,-2.438389386096707057e+01
-5.698189163369079324e+01,-2.448720548712395129e+01
-5.746733117570634874e+01,-2.460624065723291665e+01
-5.792591735947593179e+01,-2.480199289498685289e+01
-5.834990904866546657e+01,-2.506698101100578668e+01
-5.874727314463073924e+01,-2.536937738061408965e+01
-5.911009031243604994e+01,-2.571330363380988615e+01
-5.944531542376680022e+01,-2.608358093944784173e+01
-5.973969979358302140e+01,-2.648735122410212028e+01
-6.002246125157846279e+01,-2.689942649148019882e+01
-6.029927205607404517e+01,-2.731534154377984436e+01
-6.055818552446569925e+01,-2.774262587158318638e+01
-6.083503318213496414e+01,-2.815875354210547954e+01
-6.110272400414393701e+01,-2.858069323035559961e+01
-6.137478332844673901e+01,-2.899982611674715827e+01
-6.163838614447477937e+01,-2.942421801410927173e+01
-6.190143307484511581e+01,-2.984906893758576985e+01
-6.218262511524848435e+01,-3.026223083138975767e+01
-6.244738520861487530e+01,-3.068591386551536004e+01
-6.271691692693995890e+01,-3.110664995866358140e+01
-6.299288886261329878e+01,-3.152329134834571533e+01
-6.325367487112365694e+01,-3.194952058297547381e+01
-6.352537161465608762e+01,-3.236888417308206556e+01
-6.379653880199705185e+01,-3.278861121611039664e+01
-6.405989698063669380e+01,-3.321323964103599735e+01
-6.434097388944084628e+01,-3.362643125025692115e+01
-6.461033852472695571e+01,-3.404733210824679190e+01
-6.487905066424383449e+01,-3.446860045484205415e+01
-6.515762953303359950e+01,-3.488358769869375919e+01
-6.542196262137832719e+01,-3.530749403197880554e+01
-6.568730557587025487e+01,-3.573076096210672858e+01
-6.595955714536302139e+01,-3.614981582792692905e+01
-6.622404424297505443e+01,-3.657383753321617093e+01
-6.650171939162937917e+01,-3.698922002566437328e+01
-6.677611968495685346e+01,-3.740684148146640098e+01
-6.703699143947162042e+01,-3.783304683339216012e+01
-6.730117527312715708e+01,-3.825720401239821911e+01
-6.756540764920627851e+01,-3.868134318620199252e+01
-6.784324421955184903e+01,-3.909654437065223931e+01
-6.809988241040066725e+01,-3.952541860752140934e+01
-6.837350834523016374e+01,-3.994356130414674766e+01
-6.864214662144732415e+01,-4.036488480331659190e+01
-6.890788533984522246e+01,-4.078797426396694448e+01
-6.919126455341736914e+01,-4.119964364943341906e+01
-6.946642044906589319e+01,-4.161669278645976533e+01
-6.973098715294077010e+01,-4.204068439284896641e+01
-7.000523609346950593e+01,-4.245830309612440345e+01
-7.028602204786643881e+01,-4.287171147246694147e+01
-7.055233414026339744e+01,-4.329448368229545707e+01
-7.080924273615178777e+01,-4.372310905832839723e+01
-7.106976120801871843e+01,-4.414952277272405468e+01
-7.131835473115523882e+01,-4.458303652958603891e+01
-7.155852529621621727e+01,-4.502116843092170484e+01
-7.177836941845615115e+01,-4.546994474449331847e+01
-7.200550317686258950e+01,-4.591508984235952084e+01
-7.222014325528215295e+01,-4.636608626182577808e+01
-7.241509948649937201e+01,-4.682632789899862047e+01
-7.260930558584090022e+01,-4.728672213294331073e+01
-7.279461198148845824e+01,-4.775080165937933430e+01
-7.296888768639416867e+01,-4.821907855905637774e+01
-7.311729927292243758e+01,-4.869627595965052080e+01
-7.325568749747316133e+01,-4.917637819748654238e+01
-7.339377845846667014e+01,-4.965673585008252644e+01
-7.351385695713058510e+01,-5.014153490307000993e+01
-7.363096899445204713e+01,-5.062751878225589053e+01
-7.371255781182988187e+01,-5.112031553644157356e+01
-7.382001920009753348e+01,-5.160839689617444037e+01
-7.388932414823983663e+01,-5.210315421486659204e+01
-7.395172549329716105e+01,-5.259894217735913458e+01
-7.400929477721720673e+01,-5.309541456681159843e+01
-7.403674385495909860e+01,-5.359419493151095537e+01
-7.404727912331173911e+01,-5.409407738383220021e+01
-7.408347631573030867e+01,-5.459220187261050228e+01
-7.411069381511268261e+01,-5.509146817577625654e+01
-7.406164004481459529e+01,-5.558848895410019963e+01
-7.404869178600620216e+01,-5.608841677976199946e+01
-7.399312581692238666e+01,-5.658477875720751626e+01
-7.393022694053391319e+01,-5.708047886072053956e+01
-7.384595701892637010e+01,-5.757299452212388502e+01
-7.373084632457197074e+01,-5.805928329237841723e+01
-7.360383494690712780e+01,-5.854254144332370657e+01
-7.347149999261510800e+01,-5.902455947645594847e+01
-7.330240892620453508e+01,-5.949465412054852465e+01
-7.313401549606066965e+01,-5.996513467296749411e+01
-7.293433825143245031e+01,-6.042307568585324873e+01
-7.270546090017577967e+01,-6.086713961301907005e+01
-7.248050202977864842e+01,-6.131355508478699790e+01
-7.221545585407240253e+01,-6.173701620090051279e+01
-7.195300286932693723e+01,-6.216224508094190782e+01
